floor,02
location,721
type,plug
DD-MM-YYYY,time,data
27-09-2024,00:00,2.08
27-09-2024,01:00,0
27-09-2024,02:00,2.17
27-09-2024,03:00,0
27-09-2024,04:00,0.6
27-09-2024,05:00,1.76
27-09-2024,06:00,3.08
27-09-2024,07:00,2.75
27-09-2024,08:00,3.62
27-09-2024,09:00,4.35
27-09-2024,10:00,4.1
27-09-2024,11:00,4.28
27-09-2024,12:00,4.62
27-09-2024,13:00,1.79
27-09-2024,14:00,1.9
27-09-2024,15:00,1.65
27-09-2024,16:00,4.39
27-09-2024,17:00,4.72
27-09-2024,18:00,1.91
27-09-2024,19:00,0.3
27-09-2024,20:00,1.42
27-09-2024,21:00,0.1
27-09-2024,22:00,0.57
27-09-2024,23:00,0.2
28-09-2024,00:00,0
28-09-2024,01:00,1.15
28-09-2024,02:00,0.01
28-09-2024,03:00,0.21
28-09-2024,04:00,0.46
28-09-2024,05:00,1.18
28-09-2024,06:00,4.03
28-09-2024,07:00,2.35
28-09-2024,08:00,4.98
28-09-2024,09:00,3.11
28-09-2024,10:00,2.68
28-09-2024,11:00,3.1
28-09-2024,12:00,3.6
28-09-2024,13:00,4.78
28-09-2024,14:00,3.19
28-09-2024,15:00,2.95
28-09-2024,16:00,3.2
28-09-2024,17:00,2.83
28-09-2024,18:00,3.87
28-09-2024,19:00,0
28-09-2024,20:00,1.47
28-09-2024,21:00,0.06
28-09-2024,22:00,2.46
28-09-2024,23:00,1.27
29-09-2024,00:00,1.34
29-09-2024,01:00,3.62
29-09-2024,02:00,0
29-09-2024,03:00,0
29-09-2024,04:00,0
29-09-2024,05:00,0
29-09-2024,06:00,3.51
29-09-2024,07:00,2.47
29-09-2024,08:00,0.84
29-09-2024,09:00,2.96
29-09-2024,10:00,0.51
29-09-2024,11:00,2.81
29-09-2024,12:00,2.58
29-09-2024,13:00,1.51
29-09-2024,14:00,3.75
29-09-2024,15:00,3.27
29-09-2024,16:00,4.01
29-09-2024,17:00,3.07
29-09-2024,18:00,1.97
29-09-2024,19:00,1.57
29-09-2024,20:00,0.74
29-09-2024,21:00,2.42
29-09-2024,22:00,2.75
29-09-2024,23:00,1.62
30-09-2024,00:00,1.56
30-09-2024,01:00,0
30-09-2024,02:00,2.16
30-09-2024,03:00,0.99
30-09-2024,04:00,3.47
30-09-2024,05:00,1.61
30-09-2024,06:00,1.24
30-09-2024,07:00,4.03
30-09-2024,08:00,4.17
30-09-2024,09:00,0.82
30-09-2024,10:00,4.73
30-09-2024,11:00,4.65
