floor,04
location,006
type,AC1
DD-MM-YYYY,time,data
27-09-2024,00:00,0.0
27-09-2024,01:00,1.35
27-09-2024,02:00,0
27-09-2024,03:00,1.55
27-09-2024,04:00,1.03
27-09-2024,05:00,0
27-09-2024,06:00,2.36
27-09-2024,07:00,3.43
27-09-2024,08:00,3.41
27-09-2024,09:00,2.53
27-09-2024,10:00,1.8
27-09-2024,11:00,3.44
27-09-2024,12:00,2.01
27-09-2024,13:00,2.96
27-09-2024,14:00,4.72
27-09-2024,15:00,3.63
27-09-2024,16:00,3.16
27-09-2024,17:00,3.7
27-09-2024,18:00,1.5
27-09-2024,19:00,1.56
27-09-2024,20:00,1.61
27-09-2024,21:00,1.11
27-09-2024,22:00,1.28
27-09-2024,23:00,0
28-09-2024,00:00,1.1
28-09-2024,01:00,1.75
28-09-2024,02:00,1.31
28-09-2024,03:00,0.15
28-09-2024,04:00,0.54
28-09-2024,05:00,0.87
28-09-2024,06:00,1.94
28-09-2024,07:00,2.84
28-09-2024,08:00,2.88
28-09-2024,09:00,1.32
28-09-2024,10:00,3.78
28-09-2024,11:00,0.06
28-09-2024,12:00,2.78
28-09-2024,13:00,4.35
28-09-2024,14:00,2.53
28-09-2024,15:00,2.03
28-09-2024,16:00,2.62
28-09-2024,17:00,2.92
28-09-2024,18:00,3.36
28-09-2024,19:00,1.16
28-09-2024,20:00,1.81
28-09-2024,21:00,0.18
28-09-2024,22:00,0.24
28-09-2024,23:00,0.81
29-09-2024,00:00,1.21
29-09-2024,01:00,2.47
29-09-2024,02:00,1.37
29-09-2024,03:00,2.33
29-09-2024,04:00,1.37
29-09-2024,05:00,0.37
29-09-2024,06:00,4.24
29-09-2024,07:00,3.48
29-09-2024,08:00,4.4
29-09-2024,09:00,2.88
29-09-2024,10:00,3.37
29-09-2024,11:00,1.95
29-09-2024,12:00,3.33
29-09-2024,13:00,1.8
29-09-2024,14:00,3.1
29-09-2024,15:00,2.2
29-09-2024,16:00,2.4
29-09-2024,17:00,3.69
29-09-2024,18:00,3.07
29-09-2024,19:00,0.34
29-09-2024,20:00,0.37
29-09-2024,21:00,0
29-09-2024,22:00,0.1
29-09-2024,23:00,2.59
30-09-2024,00:00,1.03
30-09-2024,01:00,0.82
30-09-2024,02:00,0.76
30-09-2024,03:00,1.43
30-09-2024,04:00,0
30-09-2024,05:00,2.16
30-09-2024,06:00,3.13
30-09-2024,07:00,3.76
30-09-2024,08:00,2.21
30-09-2024,09:00,1.71
30-09-2024,10:00,1.3
30-09-2024,11:00,2.45
30-09-2024,12:00,2.67
30-09-2024,13:00,4.02
30-09-2024,14:00,0.18
30-09-2024,15:00,4.12
30-09-2024,16:00,1.82
30-09-2024,17:00,3.97
30-09-2024,18:00,4.5
30-09-2024,19:00,0.96
30-09-2024,20:00,1.29
30-09-2024,21:00,0.79
30-09-2024,22:00,0.64
30-09-2024,23:00,0.61
01-10-2024,00:00,0
01-10-2024,01:00,1.59
01-10-2024,02:00,2.32
01-10-2024,03:00,0.85
01-10-2024,04:00,0.12
01-10-2024,05:00,0.9
01-10-2024,06:00,3.19
01-10-2024,07:00,3.35
01-10-2024,08:00,1.43
01-10-2024,09:00,3.7
01-10-2024,10:00,4.34
01-10-2024,11:00,2.7
01-10-2024,12:00,2.29
01-10-2024,13:00,5
01-10-2024,14:00,3.75
01-10-2024,15:00,3.46
01-10-2024,16:00,2.03
01-10-2024,17:00,3.05
01-10-2024,18:00,2.35
01-10-2024,19:00,0.91
01-10-2024,20:00,0.01
01-10-2024,21:00,1.38
01-10-2024,22:00,1.28
01-10-2024,23:00,1.03
02-10-2024,00:00,1.01
02-10-2024,01:00,2.45
02-10-2024,02:00,0.05
02-10-2024,03:00,0
02-10-2024,04:00,0
02-10-2024,05:00,2.42
02-10-2024,06:00,2.92
02-10-2024,07:00,2.32
02-10-2024,08:00,0.51
02-10-2024,09:00,3.17
02-10-2024,10:00,3.12
02-10-2024,11:00,2.93
02-10-2024,12:00,1.88
02-10-2024,13:00,3.77
02-10-2024,14:00,3.14
02-10-2024,15:00,2.5
02-10-2024,16:00,0.89
02-10-2024,17:00,1.55
02-10-2024,18:00,3.18
02-10-2024,19:00,3.13
02-10-2024,20:00,0.89
02-10-2024,21:00,0.03
02-10-2024,22:00,1.15
02-10-2024,23:00,0
03-10-2024,00:00,1.68
03-10-2024,01:00,0.31
03-10-2024,02:00,0
03-10-2024,03:00,2.66
03-10-2024,04:00,2.07
03-10-2024,05:00,1.37
03-10-2024,06:00,2.65
03-10-2024,07:00,3.92
03-10-2024,08:00,1.69
03-10-2024,09:00,2.66
03-10-2024,10:00,0.95
03-10-2024,11:00,2.64
03-10-2024,12:00,3.07
03-10-2024,13:00,3.48
03-10-2024,14:00,3.87
03-10-2024,15:00,4.28
03-10-2024,16:00,3.39
03-10-2024,17:00,4.35
03-10-2024,18:00,2.16
03-10-2024,19:00,0.05
03-10-2024,20:00,0
03-10-2024,21:00,2.32
03-10-2024,22:00,1.79
03-10-2024,23:00,1.5
04-10-2024,00:00,0.41
04-10-2024,01:00,0.19
04-10-2024,02:00,0
04-10-2024,03:00,0.47
04-10-2024,04:00,1.0
04-10-2024,05:00,0.69
04-10-2024,06:00,3.47
04-10-2024,07:00,3.72
04-10-2024,08:00,2.44
04-10-2024,09:00,2.46
04-10-2024,10:00,2.98
04-10-2024,11:00,2.51
04-10-2024,12:00,2.49
04-10-2024,13:00,3.09
04-10-2024,14:00,2.31
04-10-2024,15:00,2.59
04-10-2024,16:00,1.64
04-10-2024,17:00,2.13
04-10-2024,18:00,2.92
04-10-2024,19:00,3.28
04-10-2024,20:00,0
04-10-2024,21:00,0
04-10-2024,22:00,0.26
04-10-2024,23:00,0.29
05-10-2024,00:00,0
05-10-2024,01:00,3.05
05-10-2024,02:00,2.71
05-10-2024,03:00,0
05-10-2024,04:00,1.15
05-10-2024,05:00,0
05-10-2024,06:00,3.9
05-10-2024,07:00,1.75
05-10-2024,08:00,5
05-10-2024,09:00,2.93
05-10-2024,10:00,2.86
05-10-2024,11:00,3.43
05-10-2024,12:00,3.55
05-10-2024,13:00,3.08
05-10-2024,14:00,3.98
05-10-2024,15:00,4.06
05-10-2024,16:00,4.58
05-10-2024,17:00,1.91
05-10-2024,18:00,3.87
05-10-2024,19:00,3.21
05-10-2024,20:00,2.82
05-10-2024,21:00,0.78
05-10-2024,22:00,0.71
05-10-2024,23:00,1.04
06-10-2024,00:00,0.15
06-10-2024,01:00,0
06-10-2024,02:00,0
06-10-2024,03:00,0.69
06-10-2024,04:00,0
06-10-2024,05:00,0.85
06-10-2024,06:00,3.3
06-10-2024,07:00,1.92
06-10-2024,08:00,3.6
06-10-2024,09:00,4.46
06-10-2024,10:00,3.41
06-10-2024,11:00,1.96
06-10-2024,12:00,2.09
06-10-2024,13:00,4.46
06-10-2024,14:00,4.17
06-10-2024,15:00,5
06-10-2024,16:00,2.53
06-10-2024,17:00,3.2
06-10-2024,18:00,1.68
06-10-2024,19:00,0.62
06-10-2024,20:00,2.57
06-10-2024,21:00,2.55
06-10-2024,22:00,0.93
06-10-2024,23:00,2.31
07-10-2024,00:00,0
07-10-2024,01:00,1.12
07-10-2024,02:00,1.21
07-10-2024,03:00,1.66
07-10-2024,04:00,1.1
07-10-2024,05:00,0
07-10-2024,06:00,3.07
07-10-2024,07:00,2.35
07-10-2024,08:00,3.28
07-10-2024,09:00,4.2
07-10-2024,10:00,4.11
07-10-2024,11:00,1.44
07-10-2024,12:00,4.33
07-10-2024,13:00,4.71
07-10-2024,14:00,3.6
07-10-2024,15:00,3.44
07-10-2024,16:00,1.6
07-10-2024,17:00,2.45
07-10-2024,18:00,4.42
07-10-2024,19:00,0
07-10-2024,20:00,0.88
07-10-2024,21:00,1.55
07-10-2024,22:00,0
07-10-2024,23:00,1.04
08-10-2024,00:00,1.82
08-10-2024,01:00,2.62
08-10-2024,02:00,1.35
08-10-2024,03:00,0.84
08-10-2024,04:00,0.02
08-10-2024,05:00,0.34
08-10-2024,06:00,4.71
08-10-2024,07:00,3.15
08-10-2024,08:00,1.95
08-10-2024,09:00,2.39
08-10-2024,10:00,2.44
08-10-2024,11:00,2.98
08-10-2024,12:00,3.71
08-10-2024,13:00,2.81
08-10-2024,14:00,2.52
08-10-2024,15:00,3.78
08-10-2024,16:00,2.82
08-10-2024,17:00,2.38
08-10-2024,18:00,0.9
08-10-2024,19:00,0.59
08-10-2024,20:00,0.27
08-10-2024,21:00,2.22
08-10-2024,22:00,0.26
08-10-2024,23:00,0
09-10-2024,00:00,1.44
09-10-2024,01:00,0.5
09-10-2024,02:00,0
09-10-2024,03:00,0
09-10-2024,04:00,0.6
09-10-2024,05:00,0.35
09-10-2024,06:00,1.92
09-10-2024,07:00,4.21
09-10-2024,08:00,2.59
09-10-2024,09:00,4.17
09-10-2024,10:00,4.29
09-10-2024,11:00,2.71
09-10-2024,12:00,2.42
09-10-2024,13:00,1.44
09-10-2024,14:00,4.32
09-10-2024,15:00,2.14
09-10-2024,16:00,3.28
09-10-2024,17:00,2.55
09-10-2024,18:00,2.16
09-10-2024,19:00,1.7
09-10-2024,20:00,2.89
09-10-2024,21:00,0
09-10-2024,22:00,0.67
09-10-2024,23:00,0.48
10-10-2024,00:00,1.4
10-10-2024,01:00,0.73
10-10-2024,02:00,1.84
10-10-2024,03:00,1.04
10-10-2024,04:00,1.53
10-10-2024,05:00,0.29
10-10-2024,06:00,3.54
10-10-2024,07:00,3.31
10-10-2024,08:00,3.23
10-10-2024,09:00,1.19
10-10-2024,10:00,2.0
10-10-2024,11:00,2.18
10-10-2024,12:00,4.13
10-10-2024,13:00,4.6
10-10-2024,14:00,2.7
10-10-2024,15:00,4.63
10-10-2024,16:00,2.39
10-10-2024,17:00,1.31
10-10-2024,18:00,2.37
10-10-2024,19:00,0.55
10-10-2024,20:00,0
10-10-2024,21:00,2.13
10-10-2024,22:00,1.65
10-10-2024,23:00,1.95
11-10-2024,00:00,0.78
11-10-2024,01:00,0.25
11-10-2024,02:00,2.04
11-10-2024,03:00,0.92
11-10-2024,04:00,0
11-10-2024,05:00,0.78
11-10-2024,06:00,2.83
11-10-2024,07:00,4.7
11-10-2024,08:00,2.91
11-10-2024,09:00,3.78
11-10-2024,10:00,4.2
11-10-2024,11:00,2.16
11-10-2024,12:00,3.78
11-10-2024,13:00,3.37
11-10-2024,14:00,2.5
11-10-2024,15:00,3.58
11-10-2024,16:00,1.47
11-10-2024,17:00,1.68
11-10-2024,18:00,2.27
11-10-2024,19:00,2.05
11-10-2024,20:00,0.63
11-10-2024,21:00,1.22
11-10-2024,22:00,0.2
11-10-2024,23:00,2.4
12-10-2024,00:00,0.52
12-10-2024,01:00,1.98
12-10-2024,02:00,0.01
12-10-2024,03:00,1.43
12-10-2024,04:00,0.18
12-10-2024,05:00,0.55
12-10-2024,06:00,3.0
12-10-2024,07:00,4.54
12-10-2024,08:00,3.4
12-10-2024,09:00,2.65
12-10-2024,10:00,3.36
12-10-2024,11:00,3.67
12-10-2024,12:00,3.16
12-10-2024,13:00,3.42
12-10-2024,14:00,3.1
12-10-2024,15:00,3.29
12-10-2024,16:00,3.67
12-10-2024,17:00,0.37
12-10-2024,18:00,4.15
12-10-2024,19:00,1.34
12-10-2024,20:00,0.69
12-10-2024,21:00,1.72
12-10-2024,22:00,1.58
12-10-2024,23:00,1.65
13-10-2024,00:00,0.44
13-10-2024,01:00,2.2
13-10-2024,02:00,0
13-10-2024,03:00,0
13-10-2024,04:00,3.19
13-10-2024,05:00,0
13-10-2024,06:00,3.83
13-10-2024,07:00,2.54
13-10-2024,08:00,4.31
13-10-2024,09:00,1.88
13-10-2024,10:00,3.84
13-10-2024,11:00,3.13
13-10-2024,12:00,4.82
13-10-2024,13:00,4.88
13-10-2024,14:00,3.13
13-10-2024,15:00,3.03
13-10-2024,16:00,4.49
13-10-2024,17:00,3.12
13-10-2024,18:00,3.12
13-10-2024,19:00,0.38
13-10-2024,20:00,1.22
13-10-2024,21:00,0
13-10-2024,22:00,1.51
13-10-2024,23:00,0.57
14-10-2024,00:00,2.57
14-10-2024,01:00,0
14-10-2024,02:00,0.5
14-10-2024,03:00,1.44
14-10-2024,04:00,0.65
14-10-2024,05:00,0.16
14-10-2024,06:00,2.48
14-10-2024,07:00,3.31
14-10-2024,08:00,1.15
14-10-2024,09:00,2.78
14-10-2024,10:00,3.91
14-10-2024,11:00,2.79
14-10-2024,12:00,3.59
14-10-2024,13:00,2.42
14-10-2024,14:00,2.7
14-10-2024,15:00,3.11
14-10-2024,16:00,2.94
14-10-2024,17:00,4.85
14-10-2024,18:00,2.45
14-10-2024,19:00,1.8
14-10-2024,20:00,0
14-10-2024,21:00,0.31
14-10-2024,22:00,0.29
14-10-2024,23:00,0
15-10-2024,00:00,1.38
15-10-2024,01:00,1.41
15-10-2024,02:00,0.46
