floor,07
location,005
type,Light
DD-MM-YYYY,time,data
29-09-2024,00:00,2.9
29-09-2024,01:00,3.87
29-09-2024,02:00,1.31
29-09-2024,03:00,0
29-09-2024,04:00,0
29-09-2024,05:00,0.31
29-09-2024,06:00,3.39
29-09-2024,07:00,3.67
29-09-2024,08:00,3.38
29-09-2024,09:00,2.53
29-09-2024,10:00,3.66
29-09-2024,11:00,2.68
29-09-2024,12:00,3.88
29-09-2024,13:00,2.32
29-09-2024,14:00,1.24
29-09-2024,15:00,4.95
29-09-2024,16:00,2.32
29-09-2024,17:00,3.28
29-09-2024,18:00,1.93
29-09-2024,19:00,2.75
29-09-2024,20:00,0.14
29-09-2024,21:00,2.03
29-09-2024,22:00,0.71
29-09-2024,23:00,0
30-09-2024,00:00,3.22
30-09-2024,01:00,1.43
30-09-2024,02:00,1.34
30-09-2024,03:00,0.6
30-09-2024,04:00,0
30-09-2024,05:00,2.75
30-09-2024,06:00,3.39
30-09-2024,07:00,4.34
30-09-2024,08:00,2.57
30-09-2024,09:00,5
30-09-2024,10:00,4.26
30-09-2024,11:00,2.92
30-09-2024,12:00,1.68
30-09-2024,13:00,3.25
30-09-2024,14:00,1.13
30-09-2024,15:00,1.74
30-09-2024,16:00,1.44
30-09-2024,17:00,1.97
30-09-2024,18:00,3.92
30-09-2024,19:00,0
30-09-2024,20:00,2.57
30-09-2024,21:00,0.65
30-09-2024,22:00,1.94
30-09-2024,23:00,0
01-10-2024,00:00,0.94
01-10-2024,01:00,0
01-10-2024,02:00,1.86
01-10-2024,03:00,1.25
01-10-2024,04:00,1.42
01-10-2024,05:00,1.26
01-10-2024,06:00,2.97
01-10-2024,07:00,3.05
01-10-2024,08:00,3.09
01-10-2024,09:00,2.25
01-10-2024,10:00,2.92
01-10-2024,11:00,2.37
01-10-2024,12:00,2.69
01-10-2024,13:00,3.34
01-10-2024,14:00,1.95
01-10-2024,15:00,1.82
01-10-2024,16:00,3.47
01-10-2024,17:00,4.06
01-10-2024,18:00,3.27
01-10-2024,19:00,0
01-10-2024,20:00,0
01-10-2024,21:00,0.01
01-10-2024,22:00,0
01-10-2024,23:00,2.21
02-10-2024,00:00,0.97
02-10-2024,01:00,1.08
02-10-2024,02:00,0.68
02-10-2024,03:00,0.6
02-10-2024,04:00,0.93
02-10-2024,05:00,1.26
02-10-2024,06:00,2.96
02-10-2024,07:00,3.18
02-10-2024,08:00,2.72
02-10-2024,09:00,2.4
02-10-2024,10:00,3.3
02-10-2024,11:00,4.04
02-10-2024,12:00,1.84
02-10-2024,13:00,2.94
02-10-2024,14:00,2.36
02-10-2024,15:00,3.21
02-10-2024,16:00,3.52
02-10-2024,17:00,5
02-10-2024,18:00,1.97
02-10-2024,19:00,0.91
02-10-2024,20:00,1.66
02-10-2024,21:00,0.07
02-10-2024,22:00,1.96
02-10-2024,23:00,0.64
03-10-2024,00:00,0
03-10-2024,01:00,2.0
03-10-2024,02:00,2.77
03-10-2024,03:00,0.73
03-10-2024,04:00,0.09
03-10-2024,05:00,1.72
03-10-2024,06:00,3.14
03-10-2024,07:00,1.36
03-10-2024,08:00,2.91
03-10-2024,09:00,3.51
03-10-2024,10:00,3.0
03-10-2024,11:00,4.92
03-10-2024,12:00,2.75
03-10-2024,13:00,1.64
03-10-2024,14:00,2.17
03-10-2024,15:00,3.74
03-10-2024,16:00,2.41
03-10-2024,17:00,4.72
03-10-2024,18:00,4.18
03-10-2024,19:00,2.92
03-10-2024,20:00,2.04
03-10-2024,21:00,3.26
03-10-2024,22:00,0
03-10-2024,23:00,0.45
04-10-2024,00:00,0
04-10-2024,01:00,1.24
04-10-2024,02:00,1.65
04-10-2024,03:00,2.14
