floor,04
location,001
type,light
DD-MM-YYYY,time,data
27-09-2024,00:00,1.68
27-09-2024,01:00,1.43
27-09-2024,02:00,2.17
27-09-2024,03:00,1.85
27-09-2024,04:00,1.9
27-09-2024,05:00,2.61
27-09-2024,06:00,3.68
27-09-2024,07:00,3.57
27-09-2024,08:00,4.12
27-09-2024,09:00,1.9
27-09-2024,10:00,2.67
27-09-2024,11:00,5
27-09-2024,12:00,2.53
27-09-2024,13:00,2.04
27-09-2024,14:00,4.56
27-09-2024,15:00,2.24
27-09-2024,16:00,4.12
27-09-2024,17:00,3.26
27-09-2024,18:00,2.9
27-09-2024,19:00,1.74
27-09-2024,20:00,0.77
27-09-2024,21:00,0.84
27-09-2024,22:00,0.65
27-09-2024,23:00,1.68
28-09-2024,00:00,1.62
28-09-2024,01:00,0.83
28-09-2024,02:00,2.1
28-09-2024,03:00,0.61
28-09-2024,04:00,1.7
28-09-2024,05:00,1.06
28-09-2024,06:00,2.57
28-09-2024,07:00,3.54
28-09-2024,08:00,5
28-09-2024,09:00,3.74
28-09-2024,10:00,3.4
28-09-2024,11:00,2.11
28-09-2024,12:00,2.41
28-09-2024,13:00,1.18
28-09-2024,14:00,1.76
28-09-2024,15:00,5
28-09-2024,16:00,3.87
28-09-2024,17:00,2.94
28-09-2024,18:00,2.22
28-09-2024,19:00,0
28-09-2024,20:00,1.17
28-09-2024,21:00,1.22
28-09-2024,22:00,1.08
28-09-2024,23:00,0.12
29-09-2024,00:00,0.47
29-09-2024,01:00,1.8
29-09-2024,02:00,0.94
29-09-2024,03:00,1.01
29-09-2024,04:00,0.17
29-09-2024,05:00,1.06
29-09-2024,06:00,2.71
29-09-2024,07:00,3.37
29-09-2024,08:00,4.27
29-09-2024,09:00,3.64
29-09-2024,10:00,3.87
29-09-2024,11:00,2.8
29-09-2024,12:00,4.84
29-09-2024,13:00,3.35
29-09-2024,14:00,2.31
29-09-2024,15:00,4.11
29-09-2024,16:00,2.12
29-09-2024,17:00,0.53
29-09-2024,18:00,3.48
29-09-2024,19:00,1.19
29-09-2024,20:00,2.82
29-09-2024,21:00,0.99
29-09-2024,22:00,0.93
29-09-2024,23:00,3.79
30-09-2024,00:00,2.09
30-09-2024,01:00,3.06
30-09-2024,02:00,0.7
30-09-2024,03:00,0.46
30-09-2024,04:00,1.88
30-09-2024,05:00,0.95
30-09-2024,06:00,2.37
30-09-2024,07:00,1.93
30-09-2024,08:00,2.68
30-09-2024,09:00,4.63
30-09-2024,10:00,1.63
30-09-2024,11:00,3.04
30-09-2024,12:00,2.3
30-09-2024,13:00,2.75
30-09-2024,14:00,3.48
30-09-2024,15:00,3.78
30-09-2024,16:00,2.67
30-09-2024,17:00,2.73
30-09-2024,18:00,2.29
30-09-2024,19:00,1.66
30-09-2024,20:00,0
30-09-2024,21:00,3.17
30-09-2024,22:00,2.57
30-09-2024,23:00,1.27
01-10-2024,00:00,2.35
01-10-2024,01:00,0.02
01-10-2024,02:00,1.77
01-10-2024,03:00,0.18
01-10-2024,04:00,2.23
01-10-2024,05:00,2.35
01-10-2024,06:00,3.33
01-10-2024,07:00,3.49
01-10-2024,08:00,0.97
01-10-2024,09:00,1.84
01-10-2024,10:00,2.64
01-10-2024,11:00,3.76
01-10-2024,12:00,4.23
01-10-2024,13:00,2.42
01-10-2024,14:00,1.54
01-10-2024,15:00,0.37
01-10-2024,16:00,3.03
