floor,03
location,008
type,Plug
DD-MM-YYYY,time,data
29-09-2024,00:00,1.87
29-09-2024,01:00,2.14
29-09-2024,02:00,0.71
29-09-2024,03:00,1.21
29-09-2024,04:00,0
29-09-2024,05:00,0.44
29-09-2024,06:00,3.55
29-09-2024,07:00,2.32
29-09-2024,08:00,4.11
29-09-2024,09:00,3.22
29-09-2024,10:00,3.14
29-09-2024,11:00,2.47
29-09-2024,12:00,4.71
29-09-2024,13:00,3.87
29-09-2024,14:00,0.49
29-09-2024,15:00,3.61
29-09-2024,16:00,4.23
29-09-2024,17:00,0.95
29-09-2024,18:00,3.28
29-09-2024,19:00,1.14
29-09-2024,20:00,0
29-09-2024,21:00,2.3
29-09-2024,22:00,0.76
29-09-2024,23:00,2.19
30-09-2024,00:00,1.09
30-09-2024,01:00,1.34
30-09-2024,02:00,0.72
30-09-2024,03:00,0.26
30-09-2024,04:00,0.92
30-09-2024,05:00,1.27
30-09-2024,06:00,3.84
30-09-2024,07:00,2.35
30-09-2024,08:00,2.54
30-09-2024,09:00,3.39
30-09-2024,10:00,1.15
30-09-2024,11:00,3.16
30-09-2024,12:00,2.49
30-09-2024,13:00,2.13
30-09-2024,14:00,1.38
30-09-2024,15:00,3.83
30-09-2024,16:00,1.68
30-09-2024,17:00,2.24
30-09-2024,18:00,1.69
30-09-2024,19:00,1.02
30-09-2024,20:00,1.38
30-09-2024,21:00,0.63
30-09-2024,22:00,0
30-09-2024,23:00,3.09
01-10-2024,00:00,0
01-10-2024,01:00,0
01-10-2024,02:00,1.58
01-10-2024,03:00,3.54
01-10-2024,04:00,1.3
01-10-2024,05:00,0.91
01-10-2024,06:00,2.76
01-10-2024,07:00,1.82
01-10-2024,08:00,4.62
01-10-2024,09:00,3.49
01-10-2024,10:00,4.91
01-10-2024,11:00,3.19
01-10-2024,12:00,3.03
01-10-2024,13:00,1.38
01-10-2024,14:00,3.18
01-10-2024,15:00,3.88
01-10-2024,16:00,4.36
01-10-2024,17:00,2.9
01-10-2024,18:00,3.95
01-10-2024,19:00,0
01-10-2024,20:00,1.02
01-10-2024,21:00,0.8
01-10-2024,22:00,1.36
01-10-2024,23:00,1.25
02-10-2024,00:00,0.3
02-10-2024,01:00,1.68
02-10-2024,02:00,1.91
02-10-2024,03:00,1.48
02-10-2024,04:00,0.87
02-10-2024,05:00,1.32
02-10-2024,06:00,2.81
02-10-2024,07:00,2.02
02-10-2024,08:00,4.04
02-10-2024,09:00,1.49
02-10-2024,10:00,3.86
02-10-2024,11:00,2.51
02-10-2024,12:00,1.9
02-10-2024,13:00,3.83
02-10-2024,14:00,3.02
02-10-2024,15:00,2.88
02-10-2024,16:00,2.42
02-10-2024,17:00,3.06
02-10-2024,18:00,2.28
02-10-2024,19:00,1.63
02-10-2024,20:00,3.82
02-10-2024,21:00,0.43
02-10-2024,22:00,0
02-10-2024,23:00,1.09
03-10-2024,00:00,0
03-10-2024,01:00,0
03-10-2024,02:00,0.29
03-10-2024,03:00,0.51
03-10-2024,04:00,0.78
03-10-2024,05:00,0
03-10-2024,06:00,2.22
03-10-2024,07:00,2.91
03-10-2024,08:00,2.98
03-10-2024,09:00,4.99
03-10-2024,10:00,2.8
03-10-2024,11:00,1.64
03-10-2024,12:00,4.2
03-10-2024,13:00,2.08
03-10-2024,14:00,3.06
03-10-2024,15:00,2.79
03-10-2024,16:00,3.4
03-10-2024,17:00,4.03
03-10-2024,18:00,1.64
03-10-2024,19:00,0.3
03-10-2024,20:00,1.77
03-10-2024,21:00,1.43
03-10-2024,22:00,0
03-10-2024,23:00,0.92
04-10-2024,00:00,0.27
04-10-2024,01:00,0.13
04-10-2024,02:00,0
04-10-2024,03:00,0.24
04-10-2024,04:00,0
04-10-2024,05:00,1.37
04-10-2024,06:00,2.85
04-10-2024,07:00,3.3
04-10-2024,08:00,2.31
04-10-2024,09:00,2.54
04-10-2024,10:00,1.53
04-10-2024,11:00,3.37
04-10-2024,12:00,2.75
04-10-2024,13:00,2.18
04-10-2024,14:00,2.9
04-10-2024,15:00,0.46
04-10-2024,16:00,2.31
04-10-2024,17:00,1.79
04-10-2024,18:00,4.07
04-10-2024,19:00,0
04-10-2024,20:00,3.11
04-10-2024,21:00,2.98
04-10-2024,22:00,0
04-10-2024,23:00,1.05
05-10-2024,00:00,0
05-10-2024,01:00,2.92
05-10-2024,02:00,0.5
05-10-2024,03:00,1.85
05-10-2024,04:00,1.69
05-10-2024,05:00,2.24
05-10-2024,06:00,2.82
05-10-2024,07:00,3.84
05-10-2024,08:00,2.89
05-10-2024,09:00,1.67
05-10-2024,10:00,2.8
05-10-2024,11:00,3.79
05-10-2024,12:00,1.72
05-10-2024,13:00,2.74
05-10-2024,14:00,1.6
05-10-2024,15:00,0.99
05-10-2024,16:00,2.97
05-10-2024,17:00,4.68
05-10-2024,18:00,3.64
05-10-2024,19:00,1.35
05-10-2024,20:00,0.29
05-10-2024,21:00,1.01
05-10-2024,22:00,0.53
05-10-2024,23:00,0.75
06-10-2024,00:00,2.09
06-10-2024,01:00,0.62
06-10-2024,02:00,0
06-10-2024,03:00,2.67
06-10-2024,04:00,1.21
06-10-2024,05:00,0.26
06-10-2024,06:00,4.52
06-10-2024,07:00,2.67
06-10-2024,08:00,3.27
06-10-2024,09:00,2.64
06-10-2024,10:00,4.09
06-10-2024,11:00,4.11
06-10-2024,12:00,5
06-10-2024,13:00,3.77
06-10-2024,14:00,2.84
06-10-2024,15:00,2.54
06-10-2024,16:00,1.61
06-10-2024,17:00,3.16
06-10-2024,18:00,2.01
06-10-2024,19:00,0.56
06-10-2024,20:00,2.07
06-10-2024,21:00,2.05
06-10-2024,22:00,0.83
06-10-2024,23:00,0.37
07-10-2024,00:00,1.15
07-10-2024,01:00,0
07-10-2024,02:00,0.17
07-10-2024,03:00,0.92
07-10-2024,04:00,1.03
07-10-2024,05:00,1.09
07-10-2024,06:00,1.35
